ticker,industry,high_dividend_yield_overall_rank,high_dividend_yield_per_industry_rank,high_eps_overall_rank,high_eps_per_industry_rank,high_market_cap_overall_rank,high_market_cap_per_industry_rank,low_pe_absolute_overall_rank,low_pe_absolute_per_industry_rank,low_pe_relative_industry_overall_rank,low_pe_relative_industry_per_industry_rank,high_dividend_yield_overall_value,high_dividend_yield_per_industry_value,high_eps_overall_value,high_eps_per_industry_value,high_market_cap_overall_value,high_market_cap_per_industry_value,low_pe_absolute_overall_value,low_pe_absolute_per_industry_value,low_pe_relative_industry_overall_value,low_pe_relative_industry_per_industry_value,selected_in
4DS.AX,Semiconductors & Semiconductor Equipment,,,,1.0,,,,,,,,,,-0.01,,,,,,,high_eps_per_industry
A2M.AX,"Food, Beverage & Tobacco",,,,,,1.0,,,,,,,,,,6653735424.0,,,,,high_market_cap_per_industry
AAI.AX,Materials,,,7.0,,32.0,,,,,,,,6.89,,22255611904.0,,,,,,"high_eps_overall, high_market_cap_overall"
AAL.AX,Capital Goods,,2.0,,,,,,,,,,8.19,,,,,,,,,high_dividend_yield_per_industry
ACU.AX,Real Estate Management & Development,,,,,,,,2.0,,2.0,,,,,,,,7.5000005,,0.3281133865641707,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
ADN.AX,Materials,,,,,,,50.0,,37.0,,,,,,,,2.4,,0.050071151655835415,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
AFA.AX,Financial Services,,,,,,,36.0,,50.0,,,,,,,,1.6,,0.07497760513273286,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
AFI.AX,Not Applic,,,,,,2.0,,,,,,,,,,8921242624.0,,,,,high_market_cap_per_industry
AFT.AX,Not Applic,,,,,1.0,1.0,,,,,,,,,1647536569843712.0,1647536569843712.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
AGL.AX,Utilities,,,,,,,,2.0,,2.0,,,,,,,,10.150673,,0.20381960721534229,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AGY.AX,Materials,,,,,,,,,43.0,,,,,,,,,,0.06258893956979428,,low_pe_relative_industry_overall
AIQ.AX,Not Applic,,,,,,,,1.0,,1.0,,,,,,,,2.709091,,0.1518655978982552,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AJX.AX,Materials,,,,,,,18.0,,14.0,,,,,,,,0.70000005,,0.014604086942767656,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
ALL.AX,Consumer Services,,,21.0,2.0,21.0,1.0,,,,,,,1.89,1.89,35531816960.0,35531816960.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
ALX.AX,Transportation,,1.0,,,,,,,,,,8.3,,,,,,,,,high_dividend_yield_per_industry
AMC.AX,Materials,,,,,26.0,,,,,,,,,,29036492800.0,,,,,,high_market_cap_overall
AMS.AX,Consumer Durables & Apparel,,,,,,,29.0,1.0,,1.0,,,,,,,1.35,1.35,,0.0968387504785558,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
ANN.AX,Health Care Equipment & Services,,,49.0,,,,,,,,,,1.05,,,,,,,,high_eps_overall
ANR.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,,,,,19.0,,20.0,,,,,,,,0.70000005,,0.0220136513813923,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
ANZ.AX,Banks,,,20.0,,8.0,,,,,,,,1.96,,108220686336.0,,,,,,"high_eps_overall, high_market_cap_overall"
AOF.AX,Equity Real Estate Investment Trusts (REITs),10.0,1.0,,,,,,,,,17.75,17.75,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
AOV.AX,Automobiles & Components,,1.0,,,,2.0,,,,,,4.98,,,,1197957120.0,,,,,"high_dividend_yield_per_industry, high_market_cap_per_industry"
APA.AX,Utilities,,2.0,,,,,,,,,,6.18,,,,,,,,,high_dividend_yield_per_industry
APW.AX,Equity Real Estate Investment Trusts (REITs),,,40.0,1.0,,,,1.0,,1.0,,,1.18,1.18,,,,2.6355932,,0.11217781325274145,"high_eps_overall, high_eps_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AQZ.AX,Transportation,,,,,,,,1.0,,1.0,,,,,,,,3.4444444,,0.09134964743469583,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
ARB.AX,Automobiles & Components,,,41.0,2.0,,1.0,,,,,,,1.18,1.18,,2661394432.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_per_industry"
ASK.AX,Equity Real Estate Investment Trusts (REITs),,,,,,,,2.0,,2.0,,,,,,,,7.022727,,0.29890582428691387,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
ASX.AX,Financial Services,,,13.0,,,,,,,,,,2.59,,,,,,,,high_eps_overall
ATP.AX,Consumer Durables & Apparel,14.0,1.0,,,,,,2.0,,2.0,14.0,14.0,,,,,,3.8999999,,0.2797563830981426,"high_dividend_yield_overall, high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
AUB.AX,Insurance,,,26.0,2.0,,,,,,,,,1.53,1.53,,,,,,,"high_eps_overall, high_eps_per_industry"
AVD.AX,Commercial & Professional Services,,,,,,,32.0,2.0,40.0,2.0,,,,,,,1.5555555,1.5555555,0.05265078738042491,0.05265078738042491,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
AXE.AX,Semiconductors & Semiconductor Equipment,,,,2.0,,2.0,,,,,,,,-0.03,,95567632.0,,,,,"high_eps_per_industry, high_market_cap_per_industry"
AZ9.AX,Materials,,,,,,,26.0,,21.0,,,,,,,,1.15,,0.0239924268350878,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
BCB.AX,Materials,,,,,,,15.0,,11.0,,,,,,,,0.5156766,,0.010758550518318992,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
BCC.AX,Technology Hardware & Equipment,,,,,,,44.0,,,,,,,,,,2.0,,,,low_pe_absolute_overall
BDM.AX,Materials,,,,,,,9.0,,8.0,,,,,,,,0.28333336,,0.005911178182382255,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
BFL.AX,Banks,,1.0,,,,,,2.0,,2.0,,7.49,,,,,,9.878049,,0.48579598156431103,"high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
BHP.AX,Materials,,,12.0,,4.0,2.0,,,,,,,2.69,,228874993664.0,228874993664.0,,,,,"high_eps_overall, high_market_cap_overall, high_market_cap_per_industry"
BIO.AX,Household & Personal Products,,,,2.0,,1.0,,,,,,,,0.0,,92382832.0,,,,,"high_eps_per_industry, high_market_cap_per_industry"
BKT.AX,Materials,,,,,,,31.0,,26.0,,,,,,,,1.5,,0.03129446978489714,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
BNL.AX,Energy,,,,,,,8.0,1.0,12.0,1.0,,,,,,,0.25,0.25,0.01162541251032481,0.01162541251032481,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
BOL.AX,Capital Goods,,,,,,,,2.0,,2.0,,,,,,,,2.9464285,,0.09973734883834749,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
BPH.AX,Financial Services,,,,,,,23.0,1.0,35.0,1.0,,,,,,,1.0,1.0,0.04686100320795803,0.04686100320795803,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
BPT.AX,Energy,30.0,,,,,,,,,,10.53,,,,,,,,,,high_dividend_yield_overall
BRG.AX,Consumer Durables & Apparel,,,,1.0,,1.0,,,,,,,,0.93,,4266823680.0,,,,,"high_eps_per_industry, high_market_cap_per_industry"
BSX.AX,Materials,,,,,,,21.0,,18.0,,,,,,,,0.93999994,,0.019611199813423415,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
BXB.AX,Commercial & Professional Services,,,,,23.0,1.0,,,,,,,,,31152209920.0,31152209920.0,,,,,"high_market_cap_overall, high_market_cap_per_industry"
BXN.AX,Household & Personal Products,,,,,,2.0,,,,,,,,,,92208000.0,,,,,high_market_cap_per_industry
CAA.AX,Materials,,,22.0,,,,,,,,,,1.88,,,,,,,,high_eps_overall
CAN.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,,,,,4.0,1.0,5.0,1.0,,,,,,,0.029999997,0.029999997,0.0009434420403267327,0.0009434420403267327,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
CBA.AX,Banks,,,8.0,1.0,2.0,1.0,,,,,,,6.06,6.06,264610512896.0,264610512896.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
CCG.AX,Telecommunication Services,,2.0,,,,,,1.0,32.0,1.0,,6.88,,,,,,7.4,0.04042294950341503,0.04042294950341503,"high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
CCP.AX,Financial Services,,,31.0,,,,,,,,,,1.37,,,,,,,,high_eps_overall
CDA.AX,Technology Hardware & Equipment,,,,1.0,,1.0,,,,,,,,0.57,,5352399872.0,,,,,"high_eps_per_industry, high_market_cap_per_industry"
CDM.AX,Not Applic,44.0,,,,,,,,,,8.76,,,,,,,,,,high_dividend_yield_overall
CEN.AX,Utilities,,,,2.0,,,,,,,,,,0.36,,,,,,,high_eps_per_industry
CIN.AX,Not Applic,,,29.0,1.0,,,,,,,,,1.47,1.47,,,,,,,"high_eps_overall, high_eps_per_industry"
CLG.AX,Commercial & Professional Services,,,,,,,25.0,1.0,28.0,1.0,,,,,,,1.039561,1.039561,0.0351859545866296,0.0351859545866296,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
CLZ.AX,Materials,,,,,,,1.0,1.0,1.0,1.0,,,,,,,0.0018181818,0.0018181818,3.793269026903326e-05,3.793269026903326e-05,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
CNB.AX,Materials,,,,,,,,,49.0,,,,,,,,,,0.0748927484171519,,low_pe_relative_industry_overall
COF.AX,Equity Real Estate Investment Trusts (REITs),48.0,,,,,,,,,,8.71,,,,,,,,,,high_dividend_yield_overall
COH.AX,Health Care Equipment & Services,,,9.0,1.0,43.0,,,,,,,,5.95,5.95,17084041216.0,,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall"
COL.AX,Consumer Staples Distribution & Retail,,,,1.0,25.0,2.0,,,,,,,,0.81,29084141568.0,29084141568.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
CPU.AX,Commercial & Professional Services,,,25.0,1.0,34.0,2.0,,,,,,,1.56,1.56,20191080448.0,20191080448.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
CSL.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,4.0,1.0,10.0,1.0,,,,,,,9.35,9.35,85537038336.0,85537038336.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
CTE.AX,"Pharmaceuticals, Biotechnology & Life Sciences",32.0,1.0,,,,,,,,,9.88,9.88,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
CUE.AX,Energy,15.0,,,,,,,,,,13.04,,,,,,,,,,high_dividend_yield_overall
CVW.AX,Insurance,23.0,2.0,,,,,,,,,11.27,11.27,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
CWP.AX,Real Estate Management & Development,,2.0,,1.0,,,,,,,,4.25,,0.57,,,,,,,"high_dividend_yield_per_industry, high_eps_per_industry"
DAI.AX,"Food, Beverage & Tobacco",,,,,,,45.0,2.0,,2.0,,,,,,,2.048387,2.048387,,0.1373017715714751,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
DCC.AX,Software & Services,,,,,,,46.0,2.0,29.0,2.0,,,,,,,2.0500002,2.0500002,0.0366837157185192,0.0366837157185192,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
DDR.AX,Technology Hardware & Equipment,,2.0,,2.0,,2.0,,,,,,4.3,,0.46,,1846150272.0,,,,,"high_dividend_yield_per_industry, high_eps_per_industry, high_market_cap_per_industry"
DGT.AX,Class Pend,,1.0,,1.0,,1.0,,1.0,,1.0,,3.82,,0.05228,,1527671424.0,,52.792652,,1.0,"high_dividend_yield_per_industry, high_eps_per_industry, high_market_cap_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
DPM.AX,Materials,,,14.0,,,,,,,,,,2.59,,,,,,,,high_eps_overall
DSK.AX,Consumer Discretionary Distribution & Retail,40.0,2.0,,,,,,,,,8.97,8.97,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
DTI.AX,Technology Hardware & Equipment,,,,,,,16.0,2.0,25.0,2.0,,,,,,,0.55,0.55,0.029140855896126697,0.029140855896126697,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
ECF.AX,Equity Real Estate Investment Trusts (REITs),22.0,2.0,,,,,,,,,11.33,11.33,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
ECH.AX,Energy,36.0,,,,,,,,,,9.51,,,,,,,,,,high_dividend_yield_overall
EDV.AX,Consumer Staples Distribution & Retail,,2.0,,,,,,2.0,,2.0,,5.16,,,,,,15.208334,,0.5754031395920969,"high_dividend_yield_per_industry, low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
EM2.AX,Materials,,,,,,,3.0,,3.0,,,,,,,,0.02962963,,0.0006181623738484545,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
EQT.AX,Financial Services,,,36.0,,,,,,,,,,1.27,,,,,,,,high_eps_overall
EQU.AX,Class Pend,,,,2.0,,2.0,,,,,,,,0.0,,38261600.0,,,,,"high_eps_per_industry, high_market_cap_per_industry"
EVN.AX,Materials,,,,,27.0,,,,,,,,,,26438690816.0,,,,,,high_market_cap_overall
EVO.AX,Consumer Services,34.0,2.0,,,,,,,,,9.68,9.68,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
EWC.AX,Utilities,,,,,,,10.0,1.0,7.0,1.0,,,,,,,0.28823528,0.28823528,0.005787596699766036,0.005787596699766036,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
EZL.AX,Financial Services,11.0,2.0,,,,,,,,,16.2,16.2,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
FCG.AX,Health Care Equipment & Services,,,,,,,,1.0,,1.0,,,,,,,,3.7,,0.07922986885115695,"low_pe_absolute_per_industry, low_pe_relative_industry_per_industry"
FFI.AX,"Food, Beverage & Tobacco",,,,1.0,,,,,,,,,,0.61,,,,,,,high_eps_per_industry
FMG.AX,Materials,,,24.0,,12.0,,,,,,,,1.66,,68537761792.0,,,,,,"high_eps_overall, high_market_cap_overall"
FPH.AX,Health Care Equipment & Services,,,,,38.0,,,,,,,,,,19268093952.0,,,,,,high_market_cap_overall
FWD.AX,Consumer Durables & Apparel,28.0,2.0,,,,2.0,,,,,10.93,10.93,,,,230526928.0,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry, high_market_cap_per_industry"
G6M.AX,Materials,,,,,,,,,39.0,,,,,,,,,,0.05215744964149523,,low_pe_relative_industry_overall
GGP.AX,Materials,,,35.0,,,,,,,,,,1.33,,,,,,,,high_eps_overall
GMG.AX,Equity Real Estate Investment Trusts (REITs),,,,2.0,14.0,1.0,,,,,,,,0.86,59748851712.0,59748851712.0,,,,,"high_eps_per_industry, high_market_cap_overall, high_market_cap_per_industry"
GQG.AX,Financial Services,29.0,,,,,,,,,,10.89,,,,,,,,,,high_dividend_yield_overall
GTN.AX,Media & Entertainment,5.0,1.0,,,,,,,,,86.34,86.34,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
GW1.AX,Materials,,,,,,,43.0,,33.0,,,,,,,,2.0,,0.04172595971319618,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
HCF.AX,Not Applic,2.0,1.0,,,,,,,,,114.29,114.29,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
HCW.AX,Equity Real Estate Investment Trusts (REITs),27.0,,,,,,,,,,10.93,,,,,,,,,,high_dividend_yield_overall
HGO.AX,Materials,,,,,,,48.0,,36.0,,,,,,,,2.2504327,,0.04695073208872966,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
HNG.AX,Capital Goods,35.0,1.0,,,,,,,,,9.52,9.52,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
HZN.AX,Energy,12.0,,,,,,,,,,15.38,,,,,,,,,,high_dividend_yield_overall
IAG.AX,Insurance,,,,,41.0,,,,,,,,,,18685743104.0,,,,,,high_market_cap_overall
IDA.AX,Materials,,,,,,,7.0,,6.0,,,,,,,,0.24666665,,0.005146201350244531,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
IFT.AX,Capital Goods,,,,,,2.0,,,,,,,,,,9738365952.0,,,,,high_market_cap_per_industry
IGN.AX,Commercial & Professional Services,46.0,,,,,,,,,,8.75,,,,,,,,,,high_dividend_yield_overall
IGO.AX,Materials,18.0,,,,,,,,,,12.62,,,,,,,,,,high_dividend_yield_overall
ILA.AX,"Pharmaceuticals, Biotechnology & Life Sciences",,,,,,,12.0,2.0,15.0,2.0,,,,,,,0.48161575,0.48161575,0.015145886375704957,0.015145886375704957,"low_pe_absolute_overall, low_pe_absolute_per_industry, low_pe_relative_industry_overall, low_pe_relative_industry_per_industry"
ING.AX,"Food, Beverage & Tobacco",,2.0,,,,,,,,,,7.95,,,,,,,,,high_dividend_yield_per_industry
IPH.AX,Commercial & Professional Services,25.0,1.0,,,,,,,,,11.03,11.03,,,,,,,,,"high_dividend_yield_overall, high_dividend_yield_per_industry"
IR1.AX,Materials,,,,,,,22.0,,19.0,,,,,,,,0.97499996,,0.020341404525663943,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
IRD.AX,Materials,,,,,,,,,38.0,,,,,,,,,,0.05215744964149523,,low_pe_relative_industry_overall
IRI.AX,Software & Services,,2.0,,,,,,,,,,6.06,,,,,,,,,high_dividend_yield_per_industry
JBH.AX,Consumer Discretionary Distribution & Retail,,,11.0,1.0,,2.0,,,,,,,4.22,4.22,,10464355328.0,,,,,"high_eps_overall, high_eps_per_industry, high_market_cap_per_industry"
JHX.AX,Materials,,,,,42.0,,,,,,,,,,17668407296.0,,,,,,high_market_cap_overall
KBC.AX,Financial Services,,,,,,,33.0,,47.0,,,,,,,,1.5666666,,0.0734155685684007,,"low_pe_absolute_overall, low_pe_relative_industry_overall"
